Month,"Coal Consumption for Electricity Generation, Electric Power Sector","Distillate Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Residual Fuel Oil Consumption for Electricity Generation, Electric Power Sector","Other Petroleum Liquids Consumption for Electricity Generation, Electric Power Sector","Petroleum Coke Consumption for Electricity Generation, Electric Power Sector","Total Petroleum Consumption for Electricity Generation, Electric Power Sector","Natural Gas Consumption for Electricity Generation, Electric Power Sector","Other Fossil Gases Consumption for Electricity Generation, Electric Power Sector","Wood Consumption for Electricity Generation, Electric Power Sector","Waste Consumption for Electricity Generation, Electric Power Sector","Other Consumption for Electricity Generation, Electric Power Sector"
1973-01-01,34556.608,5607.498,50195.352,Not Available,41.67,56011.2,224.1,Not Available,0.054,0.157,Not Available
1973-02-01,30896.808,4877.895,42121.205,Not Available,34.472,47171.46,215.505,Not Available,0.157,0.144,Not Available
1973-03-01,30724.955,2774.787,39928.182,Not Available,27.042,42838.179,257.568,Not Available,0.186,0.176,Not Available
1973-04-01,29170.498,2418.35,33431.084,Not Available,42.319,36061.029,269.228,Not Available,0.066,0.174,Not Available
1973-05-01,29628.759,2249.309,35838.834,Not Available,54.444,38360.363,319.237,Not Available,0.048,0.21,Not Available
1973-06-01,31901.675,4224.51,42185.799,Not Available,55.478,46687.699,372.999,Not Available,0.039,0.176,Not Available
1973-07-01,34820.561,4649.272,46684.953,Not Available,48.77,51578.075,424.563,Not Available,0.04,0.17,Not Available
1973-08-01,36045.285,5998.986,49366.644,Not Available,53.901,55635.135,420.584,Not Available,0.157,0.184,Not Available
1973-09-01,32792.659,3375.496,44832.192,Not Available,37.742,48396.398,355.186,Not Available,0.207,0.178,Not Available
1973-10-01,32443.211,3473.83,44714.75,Not Available,33.128,48354.22,329.418,Not Available,0.193,0.2,Not Available
1973-11-01,32133.008,3626.211,42821.102,Not Available,28.209,46588.358,253.371,Not Available,0.095,0.151,Not Available
1973-12-01,34097.576,3781.955,41069.641,Not Available,49.539,45099.291,218.411,Not Available,0.113,0.135,Not Available
1974-01-01,34546.945,4333.595,42397.209,Not Available,59.47,47028.154,220.551,Not Available,0.111,0.152,Not Available
1974-02-01,30815.417,4343.912,36318.552,Not Available,48.231,40903.619,203.255,Not Available,0.039,0.142,Not Available
1974-03-01,31593.743,4405.469,35232.242,Not Available,50.861,39892.016,255.601,Not Available,0.036,0.148,Not Available
1974-04-01,29647.422,3933.084,32025.339,Not Available,35.668,36136.763,260.121,Not Available,0.108,0.142,Not Available
1974-05-01,31676.372,4540.674,36280.324,Not Available,30.375,40972.873,307.547,Not Available,0.116,0.129,Not Available
1974-06-01,31699.986,3968.153,37270.564,Not Available,26.013,41368.782,347.802,Not Available,0.1,0.179,Not Available
1974-07-01,36088.579,6000.925,44167.505,Not Available,31.055,50323.705,405.425,Not Available,0.005,0.208,Not Available
1974-08-01,35531.108,4799.718,44194.653,Not Available,31.95,49154.121,382.629,Not Available,0.031,0.189,Not Available
1974-09-01,30958.435,3819.637,40763.84,Not Available,30.208,44734.517,314.007,Not Available,0.121,0.183,Not Available
1974-10-01,32034.019,3886.284,41380.408,Not Available,96.363,45748.507,299.416,Not Available,0.018,0.156,Not Available
1974-11-01,32119.598,4535.759,44027.642,Not Available,98.497,49055.886,239.721,Not Available,0.019,0.155,Not Available
1974-12-01,35099.176,4560.538,49087.477,Not Available,86.328,54079.655,207.353,Not Available,0.011,0.119,Not Available
1975-01-01,35832.501,5281.495,48766.94,Not Available,10.956,54103.215,205.095,Not Available,0.008,0.14,Not Available
1975-02-01,32091.315,3726.647,39817.992,Not Available,8.06,43584.939,188.929,Not Available,0.011,0.113,Not Available
1975-03-01,32789.104,2985.276,37429.611,Not Available,4.199,40435.882,211.184,Not Available,0.006,0.124,Not Available
1975-04-01,30543.039,2322.65,34714.557,Not Available,4.249,37058.452,214.252,Not Available,0.002,0.117,Not Available
1975-05-01,30570.793,3262.347,33723.409,Not Available,2.845,36999.981,275.097,Not Available,0.009,0.173,Not Available
1975-06-01,33450.798,4114.025,36828.74,Not Available,6.055,40973.04,307.901,Not Available,0.028,0.193,Not Available
1975-07-01,36559.815,3885.995,40526.761,Not Available,7.088,44448.196,362.095,Not Available,0.004,0.163,Not Available
1975-08-01,37961.932,4722.175,44597.483,Not Available,4.616,49342.738,360.199,Not Available,0.016,0.185,Not Available
1975-09-01,32603.458,1892.778,35148.066,Not Available,5.479,37068.239,315.877,Not Available,0.032,0.158,Not Available
1975-10-01,32847.755,1880.557,36149.699,Not Available,5.138,38055.946,275.335,Not Available,0.03,0.161,Not Available
1975-11-01,33327.362,1779.032,35758.477,Not Available,5.6,37565.509,227.748,Not Available,0.019,0.141,Not Available
1975-12-01,37384.56,3053.971,43759.74,Not Available,5.875,46843.086,213.957,Not Available,0.018,0.138,Not Available
1976-01-01,39980.648,4930.965,51156.673,Not Available,5.552,56115.398,206.528,Not Available,0.022,0.14,Not Available
1976-02-01,34959.411,2672.251,40455.918,Not Available,5.43,43155.319,199.441,Not Available,0.019,0.136,Not Available
1976-03-01,36092.888,2797.12,41157.59,Not Available,5.858,43984.0,222.765,Not Available,0.026,0.137,Not Available
1976-04-01,33800.91,2466.964,37684.839,Not Available,4.256,40173.083,227.825,Not Available,0.023,0.126,Not Available
1976-05-01,33939.843,2218.695,35652.795,Not Available,4.548,37894.23,266.631,Not Available,0.025,0.134,Not Available
1976-06-01,36375.782,3541.562,40097.383,Not Available,4.92,43663.545,313.367,Not Available,0.03,0.161,Not Available
1976-07-01,39835.088,3966.135,43261.706,Not Available,5.783,47256.756,337.639,Not Available,0.01,0.19,Not Available
1976-08-01,40324.319,3365.309,45704.313,Not Available,5.197,49095.607,329.731,Not Available,0.031,0.192,Not Available
1976-09-01,35890.319,2466.086,38305.059,Not Available,4.909,40795.69,295.064,Not Available,0.057,0.165,Not Available
1976-10-01,36774.081,3085.445,39120.045,Not Available,7.572,42243.35,249.956,Not Available,0.052,0.174,Not Available
1976-11-01,38829.559,4877.01,47431.886,Not Available,7.448,52346.136,217.272,Not Available,0.267,0.171,Not Available
1976-12-01,41568.126,5455.942,54048.5,Not Available,6.598,59537.432,214.649,Not Available,0.313,0.163,Not Available
1977-01-01,43250.004,9517.835,66378.582,Not Available,4.55,75919.167,205.074,Not Available,0.368,0.146,Not Available
1977-02-01,37660.088,3150.449,47658.675,Not Available,5.145,50834.849,200.413,Not Available,0.408,0.13,Not Available
1977-03-01,37238.279,2494.306,46171.341,Not Available,9.076,48711.027,231.826,Not Available,0.365,0.146,Not Available
1977-04-01,34038.909,2212.765,42217.751,Not Available,11.783,44489.431,223.081,Not Available,0.329,0.148,Not Available
1977-05-01,37151.007,3845.534,44778.794,Not Available,7.705,48662.853,259.798,Not Available,0.325,0.155,Not Available
1977-06-01,40139.032,4299.773,46248.984,Not Available,9.267,50595.092,310.669,Not Available,0.314,0.156,Not Available
1977-07-01,44961.666,7738.125,54664.082,Not Available,11.839,62461.402,346.639,Not Available,0.036,0.178,Not Available
1977-08-01,44157.685,4640.699,51949.706,Not Available,11.142,56646.115,350.718,Not Available,0.203,0.172,Not Available
1977-09-01,40155.399,2517.147,43296.719,Not Available,7.982,45853.776,324.549,Not Available,0.255,0.172,Not Available
1977-10-01,38367.183,1895.402,38070.617,Not Available,6.013,39996.084,284.788,Not Available,0.292,0.174,Not Available
1977-11-01,38708.702,2463.883,40653.455,Not Available,6.382,43149.248,234.006,Not Available,0.205,0.112,Not Available
1977-12-01,41298.009,4060.673,52779.896,Not Available,6.645,56873.794,219.639,Not Available,0.11,0.119,Not Available
1978-01-01,42708.646,8256.881,61270.961,Not Available,9.859,69577.137,229.188,Not Available,0.245,0.123,Not Available
1978-02-01,35833.034,7709.193,59636.04,Not Available,54.944,67619.953,211.17,Not Available,0.236,0.11,Not Available
1978-03-01,34004.532,5475.564,58724.352,Not Available,64.397,64521.901,232.199,Not Available,0.266,0.11,Not Available
1978-04-01,34617.566,2151.501,40877.435,Not Available,39.081,43224.341,223.188,Not Available,0.057,0.105,Not Available
1978-05-01,37199.423,2293.747,40243.92,Not Available,27.623,42675.782,260.802,Not Available,0.047,0.117,Not Available
1978-06-01,40794.014,3570.434,42728.542,Not Available,31.008,46454.016,321.423,Not Available,0.052,0.101,Not Available
1978-07-01,44118.329,3569.834,47545.626,Not Available,31.844,51274.68,362.199,Not Available,0.065,0.087,Not Available
1978-08-01,46039.96,3563.755,52636.799,Not Available,30.669,56353.899,340.299,Not Available,0.249,0.18,Not Available
1978-09-01,42646.081,3300.662,43114.385,Not Available,28.186,46555.977,296.982,Not Available,0.134,0.134,Not Available
1978-10-01,39852.851,1824.225,42253.046,Not Available,24.5,44199.771,262.88,Not Available,0.267,0.142,Not Available
1978-11-01,39751.041,2161.484,44516.339,Not Available,26.519,46810.418,228.027,Not Available,0.251,0.12,Not Available
1978-12-01,43669.35,3643.03,54771.294,Not Available,29.643,58562.539,220.005,Not Available,0.175,0.126,Not Available
1979-01-01,46901.502,6244.401,62226.048,Not Available,33.359,68637.244,228.479,Not Available,0.126,0.147,Not Available
1979-02-01,41891.492,4959.27,51655.27,Not Available,32.042,56774.75,226.896,Not Available,0.245,0.169,Not Available
1979-03-01,41781.257,1871.551,36371.261,Not Available,21.776,38351.692,260.351,Not Available,0.313,0.241,Not Available
1979-04-01,38979.296,1681.546,33800.137,Not Available,14.877,35556.068,260.974,Not Available,0.261,0.138,Not Available
1979-05-01,41531.803,2053.19,35284.925,Not Available,23.325,37454.74,277.318,Not Available,0.234,0.221,Not Available
1979-06-01,44008.087,2313.601,39258.121,Not Available,25.102,41697.232,320.196,Not Available,0.217,0.17,Not Available
1979-07-01,48216.408,2413.06,41895.4,Not Available,23.342,44425.17,369.318,Not Available,0.209,0.165,Not Available
1979-08-01,48549.13,2415.635,42478.445,Not Available,23.253,45010.345,375.37,Not Available,0.311,0.17,Not Available
1979-09-01,42167.414,1747.498,36768.46,Not Available,17.12,38601.558,338.308,Not Available,0.321,0.125,Not Available
1979-10-01,42970.038,1131.706,33445.112,Not Available,15.987,34656.753,323.082,Not Available,0.303,0.121,Not Available
1979-11-01,42979.923,1953.59,37821.865,Not Available,18.161,39866.26,260.982,Not Available,0.322,0.182,Not Available
1979-12-01,47074.898,1906.065,41600.859,Not Available,19.544,43604.644,249.249,Not Available,0.241,0.202,Not Available
1980-01-01,50370.541,3203.286,39688.974,Not Available,54.477,43164.645,276.743,Not Available,0.321,0.216,Not Available
1980-02-01,47512.382,2767.869,39381.65,Not Available,21.332,42256.179,263.771,Not Available,0.327,0.193,Not Available
1980-03-01,46684.915,2195.969,32589.481,Not Available,13.016,34850.53,283.945,Not Available,0.305,0.129,Not Available
1980-04-01,40692.272,1361.97,26177.688,Not Available,7.24,27575.858,256.606,Not Available,0.227,0.127,Not Available
1980-05-01,41463.635,1523.699,26307.046,Not Available,11.019,27885.84,281.886,Not Available,0.102,0.154,Not Available
1980-06-01,45820.609,1950.633,28738.948,Not Available,11.057,30744.866,336.894,Not Available,0.068,0.114,Not Available
1980-07-01,53655.139,3828.468,36259.541,Not Available,10.839,40142.204,420.339,Not Available,0.156,0.106,Not Available
1980-08-01,53213.874,4016.097,38835.997,Not Available,15.177,42927.979,405.343,Not Available,0.252,0.131,Not Available
1980-09-01,47913.317,2149.294,28504.629,Not Available,11.315,30710.498,357.286,Not Available,0.249,0.115,Not Available
1980-10-01,45092.124,1428.027,25529.93,Not Available,8.006,26997.987,301.266,Not Available,0.31,0.115,Not Available
1980-11-01,45697.927,2310.439,31792.203,Not Available,6.873,34137.007,255.559,Not Available,0.29,0.114,Not Available
1980-12-01,51157.0,2315.747,37356.647,Not Available,8.848,39716.634,241.957,Not Available,0.254,0.125,Not Available
1981-01-01,54688.052,3046.537,40884.747,Not Available,10.464,43983.604,231.606,Not Available,0.254,0.11,Not Available
1981-02-01,47913.769,2242.266,27754.962,Not Available,8.608,30040.268,224.003,Not Available,0.284,0.092,Not Available
1981-03-01,48398.199,1404.684,27862.473,Not Available,8.964,29311.977,273.431,Not Available,0.308,0.107,Not Available
1981-04-01,43677.223,1356.357,24228.676,Not Available,7.109,25620.578,289.053,Not Available,0.291,0.099,Not Available
1981-05-01,44999.481,1794.981,23130.215,Not Available,14.171,24996.051,316.31,Not Available,0.149,0.104,Not Available
1981-06-01,50079.734,2704.752,29699.082,Not Available,13.459,32471.129,380.775,Not Available,0.072,0.089,Not Available
1981-07-01,56144.25,2615.287,31628.065,Not Available,10.911,34297.907,410.666,Not Available,0.104,0.108,Not Available
1981-08-01,54482.822,1421.908,25759.922,Not Available,13.273,27248.195,389.564,Not Available,0.112,0.136,Not Available
1981-09-01,48482.63,1144.78,25137.061,Not Available,13.101,26347.346,324.828,Not Available,0.244,0.159,Not Available
1981-10-01,47800.454,1123.018,26078.444,Not Available,15.025,27276.587,301.67,Not Available,0.27,0.132,Not Available
1981-11-01,47013.803,1139.225,22042.019,Not Available,11.787,23240.179,258.811,Not Available,0.262,0.098,Not Available
1981-12-01,53116.416,1319.18,25592.645,Not Available,11.999,26971.82,239.436,Not Available,0.214,0.047,Not Available
1982-01-01,56825.483,3130.528,32268.615,Not Available,10.06,35449.443,237.675,Not Available,0.197,0.128,Not Available
1982-02-01,48877.588,1420.724,24351.457,Not Available,9.312,25818.741,220.032,Not Available,0.204,0.109,Not Available
1982-03-01,47884.142,1303.949,21617.467,Not Available,4.221,22942.521,246.55,Not Available,0.124,0.107,Not Available
1982-04-01,43490.175,1132.099,17912.96,Not Available,10.7,19098.559,246.344,Not Available,0.103,0.08,Not Available
1982-05-01,45621.623,991.248,15938.526,Not Available,12.146,16990.504,257.848,Not Available,0.093,0.117,Not Available
1982-06-01,47424.139,1052.983,16539.152,Not Available,13.19,17658.085,295.557,Not Available,0.118,0.111,Not Available
1982-07-01,55247.555,1360.263,21549.971,Not Available,11.11,22965.784,352.818,Not Available,0.137,0.139,Not Available
1982-08-01,54837.954,1052.72,18873.232,Not Available,12.662,19989.262,361.351,Not Available,0.15,0.091,Not Available
1982-09-01,48414.354,920.767,16543.534,Not Available,9.406,17511.331,293.232,Not Available,0.227,0.082,Not Available
1982-10-01,46329.85,869.811,15990.223,Not Available,16.682,16943.444,273.003,Not Available,0.324,0.123,Not Available
1982-11-01,47798.988,1007.366,14908.458,Not Available,18.089,16006.269,226.477,Not Available,0.21,0.099,Not Available
1982-12-01,50913.793,1094.257,17940.491,Not Available,21.756,19143.528,214.63,Not Available,0.161,0.122,Not Available
1983-01-01,53351.495,1110.424,20727.707,Not Available,16.629,21921.276,208.341,Not Available,0.14,0.097,Not Available
1983-02-01,45772.366,984.406,20304.644,Not Available,18.563,21381.865,176.965,Not Available,0.128,0.111,Not Available
1983-03-01,47109.54,944.96,20174.451,Not Available,16.459,21201.706,208.013,Not Available,0.152,0.12,Not Available
1983-04-01,43588.608,1054.406,16374.258,Not Available,24.125,17549.289,202.917,Not Available,0.122,0.112,Not Available
1983-05-01,45690.79,936.947,14360.344,Not Available,29.671,15445.646,218.184,Not Available,0.111,0.198,Not Available
1983-06-01,50337.923,1019.79,17892.183,Not Available,22.735,19025.648,247.825,Not Available,0.144,0.2,Not Available
1983-07-01,60390.025,1432.64,23382.692,Not Available,24.991,24940.287,314.357,Not Available,0.147,0.165,Not Available
1983-08-01,63766.735,1542.904,23622.387,Not Available,23.808,25284.331,352.031,Not Available,0.191,0.165,Not Available
1983-09-01,54212.246,1507.341,18021.227,Not Available,24.79,19652.518,298.517,Not Available,0.203,0.161,Not Available
1983-10-01,50689.06,869.613,15993.433,Not Available,21.785,16971.971,251.151,Not Available,0.245,0.149,Not Available
1983-11-01,51185.201,1075.166,14690.431,Not Available,17.024,15850.717,214.275,Not Available,0.28,0.108,Not Available
1983-12-01,59117.323,4033.723,23440.424,Not Available,20.876,27578.527,218.191,Not Available,0.408,0.125,Not Available
1984-01-01,60224.697,2175.565,24745.054,Not Available,23.628,27038.759,215.027,Not Available,0.471,0.143,Not Available
1984-02-01,52257.381,1017.589,16090.826,Not Available,20.944,17213.135,187.259,Not Available,0.244,0.241,Not Available
1984-03-01,54533.663,1016.26,17274.214,Not Available,18.193,18381.439,206.171,Not Available,0.299,0.361,Not Available
1984-04-01,47564.774,830.822,11970.975,Not Available,22.149,12912.542,220.005,Not Available,0.15,0.351,Not Available
1984-05-01,49507.304,1009.891,13326.843,Not Available,23.07,14452.084,264.522,Not Available,0.163,0.377,Not Available
1984-06-01,56970.893,1926.542,17362.754,Not Available,23.043,19404.511,297.56,Not Available,0.159,0.367,Not Available
1984-07-01,60358.747,1258.544,16452.978,Not Available,22.179,17822.417,348.848,Not Available,0.379,0.384,Not Available
1984-08-01,63395.512,1521.989,20337.11,Not Available,19.883,21958.514,349.878,Not Available,0.402,0.368,Not Available
1984-09-01,54044.627,995.602,12235.359,Not Available,21.47,13338.311,290.595,Not Available,0.456,0.364,Not Available
1984-10-01,54752.533,965.315,12449.652,Not Available,19.481,13512.372,269.629,Not Available,0.561,0.544,Not Available
1984-11-01,54229.361,1326.327,14543.26,Not Available,17.418,15956.677,244.637,Not Available,0.8,0.491,Not Available
1984-12-01,56559.593,1145.748,12499.491,Not Available,20.064,13745.559,217.21,Not Available,0.732,0.442,Not Available
1985-01-01,63644.544,2481.723,18574.242,Not Available,18.013,21146.03,226.276,Not Available,0.863,0.506,Not Available
1985-02-01,55490.69,1333.055,14728.926,Not Available,16.743,16145.696,202.546,Not Available,0.782,0.456,Not Available
1985-03-01,54783.606,979.639,11323.22,Not Available,16.44,12385.059,207.286,Not Available,0.842,0.547,Not Available
1985-04-01,50902.514,910.681,9560.726,Not Available,15.943,10551.122,233.819,Not Available,0.271,0.606,Not Available
1985-05-01,54595.222,962.052,11045.818,Not Available,13.346,12074.6,236.22,Not Available,0.327,0.608,Not Available
1985-06-01,57634.457,1111.396,12004.951,Not Available,21.362,13223.157,281.939,Not Available,0.279,0.642,Not Available
1985-07-01,64251.963,1109.123,13237.726,Not Available,19.578,14444.739,336.535,Not Available,0.559,0.653,Not Available
1985-08-01,63076.25,1337.6,15729.624,Not Available,18.981,17162.129,354.653,Not Available,0.745,0.61,Not Available
1985-09-01,56779.92,978.768,11993.702,Not Available,24.068,13092.81,274.868,Not Available,0.814,0.46,Not Available
1985-10-01,54968.992,969.455,12059.63,Not Available,23.324,13145.705,249.579,Not Available,0.755,0.474,Not Available
1985-11-01,54310.975,1021.161,10925.12,Not Available,23.384,12063.201,229.943,Not Available,0.77,0.578,Not Available
1985-12-01,63401.633,1440.044,17595.345,Not Available,20.175,19136.264,210.417,Not Available,0.758,0.541,Not Available
1986-01-01,64033.786,1688.473,17253.722,Not Available,15.288,19018.635,184.024,Not Available,0.67,0.524,Not Available
1986-02-01,55050.301,1099.686,14977.575,Not Available,14.809,16151.306,157.07,Not Available,0.382,0.555,Not Available
1986-03-01,53898.149,927.837,16089.949,Not Available,23.088,17133.226,169.697,Not Available,0.209,0.645,Not Available
1986-04-01,48113.827,892.584,14538.034,Not Available,23.235,15546.793,198.143,Not Available,0.208,0.597,Not Available
1986-05-01,51420.081,1209.008,16386.264,Not Available,24.909,17719.817,231.041,Not Available,0.254,0.585,Not Available
1986-06-01,58891.814,1390.314,18173.307,Not Available,24.303,19685.136,260.163,Not Available,0.279,0.574,Not Available
1986-07-01,68021.322,1727.407,25839.296,Not Available,26.318,27698.293,300.87,Not Available,0.428,0.6,Not Available
1986-08-01,61708.842,1149.79,24632.575,Not Available,31.464,25939.685,276.163,Not Available,0.59,0.603,Not Available
1986-09-01,56535.799,1106.992,17101.967,Not Available,31.274,18365.329,246.674,Not Available,0.535,0.555,Not Available
1986-10-01,54115.982,869.279,15714.329,Not Available,26.031,16713.763,216.738,Not Available,0.404,0.587,Not Available
1986-11-01,54157.619,1075.512,16655.662,Not Available,34.152,17901.934,186.605,Not Available,0.483,0.656,Not Available
1986-12-01,59108.26,1189.023,18793.775,Not Available,37.828,20171.938,175.181,Not Available,0.693,0.676,Not Available
1987-01-01,62414.333,1316.961,19068.574,Not Available,28.011,20525.59,184.722,Not Available,0.669,0.606,Not Available
1987-02-01,53715.269,1148.51,16509.837,Not Available,28.543,17801.062,158.341,Not Available,0.595,0.557,Not Available
1987-03-01,54647.253,1226.721,15740.966,Not Available,27.596,17105.667,190.893,Not Available,0.611,0.685,Not Available
1987-04-01,51434.622,1033.183,12296.625,Not Available,23.061,13445.113,206.438,Not Available,0.473,0.639,Not Available
1987-05-01,56483.958,1182.806,12420.264,Not Available,30.795,13757.045,242.615,Not Available,0.483,0.662,Not Available
1987-06-01,63499.704,1406.711,16383.775,Not Available,25.855,17919.761,283.554,Not Available,0.815,0.679,Not Available
1987-07-01,70736.229,2074.848,19193.036,Not Available,28.337,21409.569,319.239,Not Available,0.828,0.67,Not Available
1987-08-01,70074.75,1647.568,17469.966,Not Available,31.148,19273.274,338.646,Not Available,0.858,0.677,Not Available
1987-09-01,59259.45,924.17,12015.129,Not Available,30.88,13093.699,268.08,Not Available,0.739,0.532,Not Available
1987-10-01,57117.181,891.454,10537.572,Not Available,35.449,11606.271,238.185,Not Available,0.605,0.592,Not Available
1987-11-01,55960.83,1307.064,14994.932,Not Available,27.452,16439.256,216.781,Not Available,0.682,0.489,Not Available
1987-12-01,62550.575,1206.905,17380.412,Not Available,30.453,18739.582,196.556,Not Available,0.801,0.442,Not Available
1988-01-01,67849.51,2299.165,24801.451,Not Available,24.186,27221.546,167.607,Not Available,0.945,0.393,Not Available
1988-02-01,61401.119,1136.519,18381.912,Not Available,26.839,19652.626,169.688,Not Available,0.85,0.396,Not Available
1988-03-01,58758.029,1044.761,15013.702,Not Available,35.608,16236.503,204.042,Not Available,0.927,0.464,Not Available
1988-04-01,54135.212,805.213,11632.379,Not Available,32.894,12602.062,199.394,Not Available,0.712,0.728,Not Available
1988-05-01,56529.416,998.067,11023.731,Not Available,32.828,12185.938,239.871,Not Available,0.401,0.792,Not Available
1988-06-01,65342.55,1856.758,14783.431,Not Available,41.856,16849.469,280.49,Not Available,0.833,0.707,Not Available
1988-07-01,71749.021,1942.82,21638.111,Not Available,46.568,23813.771,328.088,Not Available,0.849,0.74,Not Available
1988-08-01,75252.573,3207.212,24097.088,Not Available,40.572,27507.16,344.214,Not Available,0.991,0.83,Not Available
1988-09-01,61540.128,1004.284,15594.21,Not Available,30.841,16752.699,232.665,Not Available,0.808,0.748,Not Available
1988-10-01,59561.478,1099.674,20779.919,Not Available,30.051,22029.848,181.673,Not Available,0.775,0.749,Not Available
1988-11-01,59304.53,1201.673,23198.014,Not Available,30.806,24553.717,150.432,Not Available,0.781,0.515,Not Available
1988-12-01,66948.036,2172.828,28382.745,Not Available,35.956,30735.353,137.449,Not Available,0.791,0.56,Not Available
1989-01-01,67172.666,2098.52,23496.999,0.769,47.265,25832.613,159.627,0.565,6.666,7.146,0.175
1989-02-01,63165.514,2478.852,27139.985,0.695,32.501,29782.037,187.006,0.51,6.203,6.91,0.158
1989-03-01,62381.976,2748.063,25210.906,0.769,34.893,28134.204,229.008,0.565,7.065,4.678,0.175
1989-04-01,56484.851,1067.74,18200.387,0.744,37.668,19457.211,254.645,0.546,6.053,6.512,0.169
1989-05-01,58883.188,1554.693,15495.818,0.769,35.58,17229.18,271.817,0.565,4.431,10.577,0.175
1989-06-01,64022.014,2113.768,19312.403,0.744,38.188,21617.856,281.999,0.546,5.331,10.766,0.169
1989-07-01,70144.326,2226.384,18700.273,0.769,58.059,21217.722,346.839,0.565,5.656,12.846,0.175
1989-08-01,70921.933,1563.174,17185.593,0.769,57.547,19037.271,335.869,0.565,6.88,12.166,0.175
1989-09-01,63292.135,1558.66,15689.854,0.744,53.698,17517.749,290.248,0.546,6.214,13.661,0.169
1989-10-01,60929.517,1205.248,12846.997,0.769,39.497,14250.5,275.634,0.565,6.617,14.223,0.175
1989-11-01,61376.967,1515.853,17817.304,0.744,32.949,19498.647,204.956,0.546,7.031,14.246,0.169
1989-12-01,72775.854,5904.928,31611.114,0.769,49.54,37764.512,185.864,0.565,7.246,12.539,0.175
1990-01-01,67107.091,1368.037,18498.695,2.082,49.738,20117.506,164.459,0.515,9.432,14.728,0.007
1990-02-01,58694.765,1077.241,14936.393,1.881,76.694,16398.985,148.586,0.465,9.534,13.619,0.006
1990-03-01,61494.728,1012.981,16249.844,2.082,76.602,17647.916,207.742,0.515,9.951,15.711,0.007
1990-04-01,58517.792,1144.998,16062.121,2.015,75.098,17584.626,224.693,0.498,9.38,14.671,0.006
1990-05-01,59853.905,1267.853,14750.858,2.082,94.311,16492.346,275.263,0.515,7.188,14.745,0.007
1990-06-01,65994.817,1719.635,20852.374,2.015,81.687,22982.457,335.396,0.498,4.722,15.459,0.006
1990-07-01,72268.356,1785.732,20267.903,2.082,91.348,22512.458,368.198,0.515,8.015,14.598,0.007
1990-08-01,73838.964,1789.888,16904.364,2.082,88.901,19140.84,387.256,0.515,10.11,15.364,0.007
1990-09-01,67672.204,1457.29,12173.258,2.015,96.644,14115.785,339.711,0.498,9.881,15.619,0.006
1990-10-01,65025.799,1311.672,10894.562,2.082,105.97,12738.166,289.96,0.515,9.179,15.95,0.007
1990-11-01,61652.838,1006.734,9580.329,2.015,74.988,10964.016,208.547,0.498,8.323,14.773,0.006
1990-12-01,69179.497,1452.037,12114.492,2.082,96.219,14049.705,197.478,0.515,10.187,14.729,0.007
1991-01-01,72365.999,1232.757,14303.793,4.884,99.449,16038.677,199.648,0.551,11.784,18.102,0.302
1991-02-01,59402.301,834.433,13632.349,4.411,76.811,14855.25,168.662,0.497,7.288,16.21,0.272
1991-03-01,60068.678,859.464,13549.933,4.884,98.068,14904.624,222.434,0.551,6.935,18.697,0.302
1991-04-01,56188.198,1057.718,12175.472,4.726,97.405,13724.939,248.68,0.533,5.141,18.919,0.292
1991-05-01,62051.366,1883.928,16356.971,4.884,88.803,18689.796,287.65,0.551,6.11,19.975,0.302
1991-06-01,66702.109,1165.335,17372.727,4.726,67.648,18881.027,299.987,0.533,6.83,18.757,0.292
1991-07-01,72817.942,1264.763,17337.094,4.884,82.886,19021.173,380.368,0.551,6.709,17.424,0.302
1991-08-01,72850.534,1432.386,18091.121,4.884,75.857,19907.678,377.785,0.551,10.061,18.985,0.302
1991-09-01,65263.329,1209.752,13245.188,4.726,69.738,14808.355,303.068,0.533,11.944,18.019,0.292
1991-10-01,62715.348,936.881,9817.54,4.884,67.366,11096.134,303.703,0.551,10.259,16.23,0.302
1991-11-01,64671.837,1189.965,12052.995,4.726,70.577,13600.571,228.121,0.533,9.625,18.431,0.292
1991-12-01,67555.539,1187.183,13694.17,4.884,79.141,15281.943,195.95,0.551,11.65,17.399,0.302
1992-01-01,69448.519,1190.335,16032.859,9.958,105.994,17763.124,203.331,0.999,12.814,22.546,0.291
1992-02-01,61226.688,869.987,12908.532,9.316,113.903,14357.352,204.735,0.935,9.089,21.748,0.273
1992-03-01,63792.469,910.082,13681.135,9.958,124.231,15222.331,249.655,0.999,7.708,20.748,0.291
1992-04-01,59814.064,874.956,10067.806,9.637,97.888,11441.84,275.33,0.967,7.312,18.372,0.282
1992-05-01,61641.808,909.293,8020.407,9.958,74.58,9312.558,284.111,0.999,4.673,22.585,0.291
1992-06-01,65234.461,1162.131,11531.436,9.637,97.933,13192.869,319.657,0.967,8.82,21.678,0.282
1992-07-01,75096.077,1540.719,13119.894,9.958,108.034,15210.741,401.032,0.999,10.152,22.515,0.291
1992-08-01,71862.635,1091.467,10755.758,9.958,172.328,12718.822,363.735,0.999,11.991,22.123,0.291
1992-09-01,67111.276,915.874,10602.914,9.637,145.63,12256.573,329.02,0.967,10.707,21.651,0.282
1992-10-01,63895.712,854.964,10600.39,9.958,154.254,12236.58,255.647,0.999,12.248,19.915,0.291
