Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
1976-01-01,,,,,,
1976-02-01,,,,,,
1976-03-01,,,,,,
1976-04-01,,,,,,
1976-05-01,,,,,,
1976-06-01,,,,,,
1976-07-01,3.9,3.7,2.3,,,3.0
1976-08-01,3.7,3.6,2.2,,,3.0
1976-09-01,3.8,3.7,2.2,,,3.1
1976-10-01,3.9,3.8,2.2,,,3.2
1976-11-01,3.8,3.8,2.2,,,3.1
1976-12-01,3.6,3.7,2.3,,,3.1
1977-01-01,3.6,3.8,2.4,,,3.2
1977-02-01,3.7,3.9,2.4,,,3.3
1977-03-01,4.0,4.0,2.4,,,3.3
1977-04-01,4.1,4.0,2.4,,,3.3
1977-05-01,4.2,4.1,2.5,,,3.4
1977-06-01,4.2,4.1,2.5,,,3.4
1977-07-01,4.2,4.1,2.6,,,3.6
1977-08-01,4.4,4.4,2.6,,,3.7
1977-09-01,4.3,4.2,2.6,,,3.6
1977-10-01,4.3,4.3,2.6,,,3.5
1977-11-01,4.2,4.2,2.6,,,3.5
1977-12-01,4.0,4.1,2.5,,,3.4
1978-01-01,3.9,4.1,2.6,,,3.5
1978-02-01,3.9,4.2,2.7,,,3.5
1978-03-01,4.1,4.3,2.9,,,3.7
1978-04-01,4.3,4.4,2.8,,,3.7
1978-05-01,4.5,4.4,2.8,,,3.7
1978-06-01,4.5,4.5,2.8,,,3.8
1978-07-01,4.5,4.4,2.8,,,3.8
1978-08-01,4.5,4.4,2.8,,,3.8
1978-09-01,4.5,4.4,2.8,,,3.8
1978-10-01,4.5,4.5,2.8,,,3.7
1978-11-01,4.4,4.4,2.8,,,3.7
1978-12-01,4.2,4.3,2.8,,,3.6
1979-01-01,4.1,4.3,2.8,,,3.6
1979-02-01,4.1,4.3,2.9,,,3.7
1979-03-01,4.3,4.4,2.9,,,3.8
1979-04-01,4.5,4.5,2.9,,,3.8
