Month,Coal Consumed by the Industrial Sector,Natural Gas Consumed by the Industrial Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Industrial Sector (Excluding Biofuels),Total Fossil Fuels Consumed by the Industrial Sector,Conventional Hydroelectric Power Consumed by the Industrial Sector,Geothermal Energy Consumed by the Industrial Sector,Solar Energy Consumed by the Industrial Sector,Wind Energy Consumed by the Industrial Sector,Biomass Energy Consumed by the Industrial Sector,Total Renewable Energy Consumed by the Industrial Sector,Total Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Electrical System Energy Losses Proportioned to the Industrial Sector,Total Energy Consumed by the Industrial Sector
1973-01-01,363.058,826.344,736.611,1924.897,1.04,Not Available,Not Available,Not Available,98.933,99.973,2024.87,188.594,2213.463,388.634,2602.097
1973-02-01,334.333,712.644,702.139,1748.993,0.962,Not Available,Not Available,Not Available,89.359,90.32,1839.313,186.266,2025.579,341.807,2367.386
1973-03-01,343.602,746.215,736.417,1824.225,1.064,Not Available,Not Available,Not Available,98.933,99.997,1924.221,190.614,2114.835,371.644,2486.479
1973-04-01,337.989,823.507,654.33,1815.18,1.016,Not Available,Not Available,Not Available,95.741,96.758,1911.938,190.856,2102.794,363.159,2465.953
1973-05-01,343.906,869.133,764.146,1974.357,1.049,Not Available,Not Available,Not Available,98.933,99.981,2074.338,193.93,2268.268,402.14,2670.408
1973-06-01,326.281,783.363,750.518,1859.915,1.018,Not Available,Not Available,Not Available,95.741,96.759,1956.674,195.739,2152.412,435.154,2587.566
1973-07-01,320.485,840.384,755.413,1915.141,0.906,Not Available,Not Available,Not Available,98.933,99.839,2014.98,195.004,2209.984,437.597,2647.581
1973-08-01,316.111,878.211,840.962,2033.821,0.875,Not Available,Not Available,Not Available,98.933,99.808,2133.629,200.847,2334.475,450.048,2784.523
1973-09-01,306.751,875.338,775.316,1956.215,0.764,Not Available,Not Available,Not Available,95.741,96.505,2052.72,201.917,2254.637,379.184,2633.821
1973-10-01,337.364,1010.434,794.5,2144.034,0.832,Not Available,Not Available,Not Available,98.933,99.765,2243.799,206.472,2450.271,419.444,2869.715
1973-11-01,346.548,999.085,822.063,2168.911,0.876,Not Available,Not Available,Not Available,95.741,96.618,2265.529,199.373,2464.902,404.34,2869.243
1973-12-01,380.304,1023.256,718.4,2122.306,1.018,Not Available,Not Available,Not Available,98.933,99.951,2222.257,191.312,2413.569,399.528,2813.096
1974-01-01,358.86,732.972,736.758,1832.36,1.026,Not Available,Not Available,Not Available,98.442,99.467,1931.828,189.218,2121.046,372.852,2493.898
1974-02-01,336.458,780.265,657.388,1777.062,0.937,Not Available,Not Available,Not Available,88.915,89.852,1866.914,186.975,2053.889,341.691,2395.58
1974-03-01,340.521,803.892,669.719,1817.802,1.004,Not Available,Not Available,Not Available,98.442,99.446,1917.247,190.438,2107.685,382.058,2489.743
1974-04-01,336.53,668.198,678.747,1687.889,0.992,Not Available,Not Available,Not Available,95.266,96.258,1784.148,191.463,1975.61,363.7,2339.311
1974-05-01,327.743,787.075,691.727,1811.704,1.023,Not Available,Not Available,Not Available,98.442,99.465,1911.169,195.256,2106.425,420.883,2527.308
1974-06-01,312.325,719.296,734.141,1769.134,0.953,Not Available,Not Available,Not Available,95.266,96.219,1865.354,196.88,2062.233,404.132,2466.365
1974-07-01,310.152,803.719,764.163,1881.605,0.871,Not Available,Not Available,Not Available,98.442,99.313,1980.919,196.201,2177.12,457.35,2634.469
1974-08-01,319.364,849.79,777.463,1950.461,0.819,Not Available,Not Available,Not Available,98.442,99.261,2049.722,203.496,2253.218,436.163,2689.381
1974-09-01,311.298,935.142,724.054,1977.016,0.781,Not Available,Not Available,Not Available,95.266,96.047,2073.063,204.356,2277.42,370.663,2648.082
1974-10-01,331.561,997.736,782.256,2120.63,0.742,Not Available,Not Available,Not Available,98.442,99.184,2219.813,205.116,2424.929,425.726,2850.655
1974-11-01,295.468,994.964,732.834,2028.127,0.773,Not Available,Not Available,Not Available,95.266,96.039,2124.166,195.081,2319.247,415.508,2734.756
1974-12-01,289.914,930.442,690.44,1915.681,0.929,Not Available,Not Available,Not Available,98.442,99.371,2015.052,182.314,2197.366,404.067,2601.433
1975-01-01,326.611,895.682,755.408,1986.208,1.017,Not Available,Not Available,Not Available,90.305,91.322,2077.53,193.155,2270.685,399.889,2670.574
1975-02-01,327.017,626.574,598.807,1560.532,0.905,Not Available,Not Available,Not Available,81.566,82.471,1643.004,188.899,1831.903,347.303,2179.206
1975-03-01,348.71,657.886,664.661,1673.811,0.952,Not Available,Not Available,Not Available,90.305,91.257,1765.069,189.596,1954.664,379.34,2334.004
1975-04-01,327.989,436.134,612.276,1376.226,0.949,Not Available,Not Available,Not Available,87.392,88.341,1464.567,187.596,1652.163,360.029,2012.192
1975-05-01,309.447,524.519,617.643,1454.163,1.023,Not Available,Not Available,Not Available,90.305,91.328,1545.49,190.51,1736.0,404.705,2140.706
1975-06-01,287.836,599.683,636.473,1522.33,0.938,Not Available,Not Available,Not Available,87.392,88.331,1610.661,193.752,1804.412,414.391,2218.804
1975-07-01,273.671,650.106,707.562,1630.224,0.821,Not Available,Not Available,Not Available,90.305,91.126,1721.35,192.642,1913.992,429.673,2343.665
1975-08-01,277.455,734.419,672.49,1682.504,0.739,Not Available,Not Available,Not Available,90.305,91.044,1773.548,200.67,1974.218,440.535,2414.752
1975-09-01,279.123,767.663,685.168,1729.251,0.744,Not Available,Not Available,Not Available,87.392,88.136,1817.387,203.271,2020.658,360.709,2381.367
1975-10-01,290.333,883.481,750.692,1922.845,0.816,Not Available,Not Available,Not Available,90.305,91.121,2013.965,204.348,2218.314,417.783,2636.097
1975-11-01,301.033,871.492,649.493,1822.54,0.818,Not Available,Not Available,Not Available,87.392,88.21,1910.75,202.258,2113.008,407.545,2520.553
1975-12-01,317.657,884.612,741.407,1944.123,0.875,Not Available,Not Available,Not Available,90.305,91.18,2035.303,199.666,2234.969,433.29,2668.259
1976-01-01,305.27,787.456,754.527,1846.236,0.954,Not Available,Not Available,Not Available,103.323,104.277,1950.513,199.948,2150.461,420.247,2570.708
1976-02-01,289.658,592.397,694.489,1574.832,0.963,Not Available,Not Available,Not Available,96.657,97.619,1672.452,201.904,1874.356,367.676,2242.032
1976-03-01,308.337,597.665,715.018,1619.135,0.997,Not Available,Not Available,Not Available,103.323,104.32,1723.455,210.088,1933.543,430.636,2364.179
1976-04-01,307.348,585.608,674.318,1564.943,1.024,Not Available,Not Available,Not Available,99.99,101.013,1665.956,208.773,1874.729,403.691,2278.419
1976-05-01,315.27,655.196,712.318,1680.081,1.004,Not Available,Not Available,Not Available,103.323,104.327,1784.408,212.892,1997.3,433.126,2430.426
1976-06-01,299.578,647.069,710.508,1655.494,0.962,Not Available,Not Available,Not Available,99.99,100.952,1756.445,217.811,1974.256,487.57,2461.827
1976-07-01,297.247,727.889,738.864,1763.801,0.877,Not Available,Not Available,Not Available,103.323,104.2,1868.001,216.617,2084.618,481.526,2566.144
1976-08-01,291.02,710.361,772.974,1775.842,0.803,Not Available,Not Available,Not Available,103.323,104.125,1879.968,221.825,2101.793,474.669,2576.463
1976-09-01,290.872,718.918,759.707,1770.118,0.69,Not Available,Not Available,Not Available,99.99,100.68,1870.798,223.675,2094.473,414.043,2508.516
1976-10-01,305.132,956.593,787.45,2054.804,0.899,Not Available,Not Available,Not Available,103.323,104.222,2159.025,222.598,2381.623,461.963,2843.586
1976-11-01,312.183,898.909,771.771,1984.152,0.892,Not Available,Not Available,Not Available,99.99,100.882,2085.034,219.082,2304.116,479.631,2783.747
1976-12-01,338.605,883.004,861.26,2085.25,0.912,Not Available,Not Available,Not Available,103.323,104.235,2189.485,217.67,2407.155,487.289,2894.444
1977-01-01,305.467,801.012,784.11,1888.952,1.001,Not Available,Not Available,Not Available,108.818,109.819,1998.771,213.508,2212.28,487.155,2699.434
1977-02-01,293.529,383.434,808.154,1485.166,0.732,Not Available,Not Available,Not Available,98.287,99.02,1584.186,209.651,1793.836,386.255,2180.091
1977-03-01,316.244,623.359,798.181,1735.974,0.957,Not Available,Not Available,Not Available,108.818,109.775,1845.75,220.074,2065.823,457.625,2523.448
1977-04-01,297.789,583.804,749.122,1628.731,0.901,Not Available,Not Available,Not Available,105.308,106.209,1734.94,220.2,1955.14,444.75,2399.889
1977-05-01,295.208,700.417,764.65,1760.598,0.903,Not Available,Not Available,Not Available,108.818,109.721,1870.319,227.74,2098.059,519.006,2617.064
1977-06-01,286.065,695.414,818.467,1799.996,0.833,Not Available,Not Available,Not Available,105.308,106.141,1906.136,229.166,2135.302,528.044,2663.346
1977-07-01,276.444,695.714,788.978,1762.723,0.812,Not Available,Not Available,Not Available,108.818,109.63,1872.353,224.052,2096.405,530.671,2627.076
1977-08-01,263.403,749.735,849.151,1863.207,0.808,Not Available,Not Available,Not Available,108.818,109.626,1972.833,230.058,2202.892,514.805,2717.696
1977-09-01,256.532,829.338,815.889,1908.753,0.794,Not Available,Not Available,Not Available,105.308,106.102,2014.855,230.183,2245.037,458.47,2703.507
1977-10-01,286.958,844.465,860.591,1996.007,0.831,Not Available,Not Available,Not Available,108.818,109.649,2105.656,230.514,2336.17,464.402,2800.572
1977-11-01,284.904,852.999,825.316,1964.012,0.986,Not Available,Not Available,Not Available,105.308,106.294,2070.306,225.141,2295.447,485.185,2780.632
1977-12-01,291.828,876.187,842.181,2015.502,1.1,Not Available,Not Available,Not Available,108.818,109.918,2125.421,221.673,2347.093,503.36,2850.453
1978-01-01,259.807,895.383,830.526,1987.07,0.929,Not Available,Not Available,Not Available,118.94,119.869,2106.939,224.793,2331.732,504.135,2835.867
1978-02-01,210.231,641.362,788.865,1641.25,0.823,Not Available,Not Available,Not Available,107.43,108.253,1749.503,209.705,1959.208,413.548,2372.756
1978-03-01,206.374,617.725,806.878,1635.994,0.913,Not Available,Not Available,Not Available,118.94,119.853,1755.847,212.134,1967.982,435.829,2403.811
1978-04-01,269.033,613.204,777.082,1670.862,0.938,Not Available,Not Available,Not Available,115.103,116.041,1786.903,217.996,2004.899,429.037,2433.936
1978-05-01,286.881,617.837,836.216,1764.952,1.066,Not Available,Not Available,Not Available,118.94,120.006,1884.958,231.303,2116.261,509.777,2626.038
1978-06-01,282.413,598.902,805.371,1695.527,0.931,Not Available,Not Available,Not Available,115.103,116.034,1811.561,237.595,2049.156,530.363,2579.519
1978-07-01,286.179,692.216,814.374,1806.797,0.906,Not Available,Not Available,Not Available,118.94,119.846,1926.644,232.03,2158.673,526.35,2685.023
1978-08-01,284.048,689.635,836.967,1823.511,0.822,Not Available,Not Available,Not Available,118.94,119.762,1943.274,240.164,2183.438,541.883,2725.321
1978-09-01,290.113,676.896,804.112,1782.34,0.785,Not Available,Not Available,Not Available,115.103,115.888,1898.228,242.675,2140.903,468.912,2609.815
1978-10-01,302.296,807.531,850.537,1974.682,0.722,Not Available,Not Available,Not Available,118.94,119.662,2094.344,243.136,2337.48,492.706,2830.186
1978-11-01,305.81,825.545,820.904,1964.263,0.74,Not Available,Not Available,Not Available,115.103,115.843,2080.105,237.823,2317.929,516.456,2834.385
1978-12-01,330.316,862.302,818.351,2019.703,0.818,Not Available,Not Available,Not Available,118.94,119.759,2139.461,231.221,2370.682,525.317,2895.999
1979-01-01,320.533,841.12,907.497,2072.986,1.005,Not Available,Not Available,Not Available,119.317,120.322,2193.308,233.121,2426.43,526.787,2953.217
1979-02-01,290.526,584.998,844.558,1723.052,0.854,Not Available,Not Available,Not Available,107.77,108.625,1831.677,230.76,2062.437,456.829,2519.267
1979-03-01,309.611,565.923,921.088,1798.577,1.041,Not Available,Not Available,Not Available,119.317,120.358,1918.935,238.1,2157.034,472.02,2629.054
1979-04-01,299.409,576.375,787.399,1668.14,1.02,Not Available,Not Available,Not Available,115.468,116.488,1784.627,238.649,2023.276,462.592,2485.868
1979-05-01,298.449,662.855,877.523,1849.787,1.162,Not Available,Not Available,Not Available,119.317,120.479,1970.266,244.975,2215.241,510.298,2725.539
1979-06-01,286.342,645.649,859.994,1801.177,1.003,Not Available,Not Available,Not Available,115.468,116.471,1917.648,245.388,2163.036,530.334,2693.37
1979-07-01,291.737,678.745,848.436,1826.625,0.914,Not Available,Not Available,Not Available,119.317,120.231,1946.856,242.197,2189.054,554.665,2743.719
1979-08-01,292.309,702.801,914.651,1918.309,0.854,Not Available,Not Available,Not Available,119.317,120.171,2038.48,245.514,2283.993,542.366,2826.359
1979-09-01,285.505,720.181,838.954,1852.389,0.762,Not Available,Not Available,Not Available,115.468,116.23,1968.619,242.3,2210.919,470.048,2680.967
1979-10-01,296.496,845.325,925.966,2071.243,0.81,Not Available,Not Available,Not Available,119.317,120.127,2191.37,243.862,2435.233,520.085,2955.318
1979-11-01,297.924,868.594,869.225,2035.652,0.898,Not Available,Not Available,Not Available,115.468,116.366,2152.018,238.089,2390.108,506.359,2896.467
1979-12-01,324.077,856.789,905.57,2088.04,0.913,Not Available,Not Available,Not Available,119.317,120.23,2208.27,229.617,2437.887,503.482,2941.369
1980-01-01,304.714,825.452,874.774,2008.216,0.995,Not Available,Not Available,Not Available,135.519,136.514,2144.73,230.419,2375.149,497.562,2872.711
1980-02-01,283.534,672.142,792.327,1747.481,0.841,Not Available,Not Available,Not Available,126.776,127.617,1875.098,233.749,2108.847,470.576,2579.423
1980-03-01,290.198,698.352,821.477,1806.784,0.957,Not Available,Not Available,Not Available,135.519,136.476,1943.261,235.721,2178.982,482.559,2661.541
1980-04-01,283.485,547.953,765.188,1591.955,1.013,Not Available,Not Available,Not Available,131.148,132.16,1724.116,231.702,1955.818,441.46,2397.278
1980-05-01,275.187,607.655,776.051,1653.64,1.135,Not Available,Not Available,Not Available,135.519,136.655,1790.294,229.406,2019.7,488.545,2508.246
1980-06-01,248.759,573.174,757.41,1575.403,1.088,Not Available,Not Available,Not Available,131.148,132.235,1707.638,227.713,1935.352,507.166,2442.518
1980-07-01,227.149,595.662,737.538,1556.092,0.96,Not Available,Not Available,Not Available,135.519,136.48,1692.571,223.592,1916.163,532.65,2448.814
1980-08-01,229.088,615.906,724.0,1565.901,0.805,Not Available,Not Available,Not Available,135.519,136.325,1702.226,230.02,1932.246,511.26,2443.506
1980-09-01,223.049,670.799,819.815,1709.62,0.727,Not Available,Not Available,Not Available,131.148,131.875,1841.495,237.373,2078.867,460.359,2539.226
1980-10-01,250.062,831.14,825.328,1900.528,0.703,Not Available,Not Available,Not Available,135.519,136.222,2036.75,236.837,2273.587,487.52,2761.107
1980-11-01,258.96,846.366,738.647,1841.781,0.756,Not Available,Not Available,Not Available,131.148,131.903,1973.684,230.696,2204.38,499.405,2703.785
1980-12-01,280.799,846.821,831.391,1957.92,0.805,Not Available,Not Available,Not Available,135.519,136.324,2094.245,233.78,2328.025,512.174,2840.198
1981-01-01,293.954,747.059,757.497,1798.127,0.995,Not Available,Not Available,Not Available,143.93,144.925,1943.053,228.862,2171.915,475.561,2647.476
1981-02-01,272.687,521.466,650.421,1443.685,0.841,Not Available,Not Available,Not Available,130.002,130.843,1574.527,230.006,1804.534,416.867,2221.401
1981-03-01,276.168,684.964,703.782,1662.41,0.957,Not Available,Not Available,Not Available,143.93,144.888,1807.297,234.029,2041.327,483.919,2525.246
1981-04-01,255.574,583.121,651.563,1488.99,1.013,Not Available,Not Available,Not Available,139.288,140.3,1629.291,232.488,1861.779,470.537,2332.316
1981-05-01,233.748,662.428,710.326,1606.545,1.135,Not Available,Not Available,Not Available,143.93,145.066,1751.61,234.453,1986.063,498.44,2484.503
1981-06-01,228.926,610.598,690.585,1525.886,1.088,Not Available,Not Available,Not Available,139.288,140.375,1666.261,244.44,1910.701,550.143,2460.845
1981-07-01,267.305,634.978,685.367,1587.898,0.96,Not Available,Not Available,Not Available,143.93,144.891,1732.789,244.682,1977.471,542.3,2519.771
1981-08-01,270.268,660.351,686.878,1617.77,0.805,Not Available,Not Available,Not Available,143.93,144.736,1762.506,245.698,2008.204,516.669,2524.873
1981-09-01,263.029,668.192,697.178,1626.667,0.727,Not Available,Not Available,Not Available,139.288,140.015,1766.682,242.289,2008.971,467.395,2476.366
1981-10-01,264.16,799.349,684.022,1744.883,0.703,Not Available,Not Available,Not Available,143.93,144.633,1889.516,235.955,2125.471,485.689,2611.16
1981-11-01,265.796,748.587,628.569,1643.115,0.756,Not Available,Not Available,Not Available,139.288,140.043,1783.158,225.743,2008.901,467.552,2476.453
1981-12-01,265.314,862.455,670.003,1794.743,0.805,Not Available,Not Available,Not Available,143.93,144.735,1939.478,218.791,2158.269,479.674,2637.943
1982-01-01,265.124,788.232,668.872,1721.815,0.995,Not Available,Not Available,Not Available,140.11,141.105,1862.92,214.749,2077.668,459.043,2536.712
1982-02-01,248.824,517.489,604.027,1368.92,0.841,Not Available,Not Available,Not Available,126.551,127.392,1496.312,214.198,1710.51,385.806,2096.316
1982-03-01,239.374,618.128,635.719,1491.208,0.957,Not Available,Not Available,Not Available,140.11,141.067,1632.275,220.061,1852.336,437.453,2289.789
1982-04-01,221.395,512.333,645.325,1378.36,1.013,Not Available,Not Available,Not Available,135.59,136.603,1514.963,214.01,1728.972,410.6,2139.572
1982-05-01,213.639,476.722,639.279,1327.187,1.135,Not Available,Not Available,Not Available,140.11,141.245,1468.432,213.182,1681.615,449.477,2131.092
1982-06-01,199.595,519.333,631.857,1347.17,1.088,Not Available,Not Available,Not Available,135.59,136.678,1483.849,217.291,1701.139,456.73,2157.869
1982-07-01,193.355,524.536,659.743,1374.6,0.96,Not Available,Not Available,Not Available,140.11,141.07,1515.67,213.649,1729.319,489.101,2218.421
1982-08-01,194.642,533.703,700.294,1427.309,0.805,Not Available,Not Available,Not Available,140.11,140.915,1568.224,216.001,1784.225,461.094,2245.319
1982-09-01,186.441,578.388,634.809,1396.456,0.727,Not Available,Not Available,Not Available,135.59,136.318,1532.774,204.652,1737.426,400.375,2137.801
1982-10-01,193.958,671.68,667.948,1532.211,0.703,Not Available,Not Available,Not Available,140.11,140.813,1673.023,207.553,1880.576,427.677,2308.253
1982-11-01,196.944,704.317,613.87,1513.679,0.756,Not Available,Not Available,Not Available,135.59,136.346,1650.026,206.941,1856.966,433.715,2290.681
1982-12-01,198.669,622.181,616.904,1437.077,0.805,Not Available,Not Available,Not Available,140.11,140.915,1577.992,199.48,1777.472,416.884,2194.356
1983-01-01,210.848,702.491,543.224,1455.205,0.995,Not Available,Not Available,Not Available,159.199,160.194,1615.399,197.685,1813.083,404.438,2217.522
1983-02-01,196.125,628.961,511.469,1335.501,0.841,Not Available,Not Available,Not Available,143.792,144.633,1480.135,201.417,1681.552,353.499,2035.05
1983-03-01,186.92,632.345,584.791,1403.319,0.957,Not Available,Not Available,Not Available,159.199,160.156,1563.474,205.612,1769.086,411.448,2180.534
1983-04-01,205.133,591.925,554.278,1348.993,1.013,Not Available,Not Available,Not Available,154.063,155.076,1504.069,206.591,1710.659,383.013,2093.672
1983-05-01,198.417,556.269,609.733,1362.748,1.135,Not Available,Not Available,Not Available,159.199,160.334,1523.082,214.031,1737.113,433.754,2170.867
1983-06-01,182.137,521.938,622.893,1326.103,1.088,Not Available,Not Available,Not Available,154.063,155.151,1481.254,225.711,1706.964,473.888,2180.852
1983-07-01,206.05,499.206,644.926,1348.567,0.96,Not Available,Not Available,Not Available,159.199,160.159,1508.726,226.639,1735.365,505.796,2241.16
1983-08-01,208.816,509.069,669.009,1386.283,0.805,Not Available,Not Available,Not Available,159.199,160.004,1546.287,237.514,1783.801,515.966,2299.767
1983-09-01,202.641,491.948,680.51,1374.154,0.727,Not Available,Not Available,Not Available,154.063,154.79,1528.945,237.537,1766.482,429.371,2195.853
1983-10-01,217.029,522.198,649.575,1388.06,0.703,Not Available,Not Available,Not Available,159.199,159.901,1547.961,235.168,1783.129,468.669,2251.798
1983-11-01,226.561,551.662,646.236,1423.509,0.756,Not Available,Not Available,Not Available,154.063,154.819,1578.328,230.46,1808.788,470.422,2279.21
1983-12-01,248.862,567.631,617.775,1431.523,0.805,Not Available,Not Available,Not Available,159.199,160.004,1591.526,229.346,1820.872,514.359,2335.232
1984-01-01,256.203,765.497,691.641,1714.098,0.995,Not Available,Not Available,Not Available,162.475,163.47,1877.568,226.865,2104.433,444.673,2549.106
1984-02-01,236.721,685.969,612.68,1537.387,0.841,Not Available,Not Available,Not Available,151.993,152.834,1690.221,229.37,1919.591,411.115,2330.706
1984-03-01,238.224,688.778,672.019,1598.046,0.957,Not Available,Not Available,Not Available,162.475,163.432,1761.478,236.985,1998.463,468.797,2467.26
1984-04-01,253.415,647.231,644.282,1544.495,1.013,Not Available,Not Available,Not Available,157.234,158.247,1702.742,234.822,1937.563,427.911,2365.474
1984-05-01,245.08,607.736,682.545,1534.792,1.135,Not Available,Not Available,Not Available,162.475,163.61,1698.402,240.69,1939.092,486.499,2425.591
1984-06-01,224.656,571.103,655.24,1448.558,1.088,Not Available,Not Available,Not Available,157.234,158.322,1606.88,248.386,1855.267,524.436,2379.703
1984-07-01,226.684,547.089,694.769,1467.608,0.96,Not Available,Not Available,Not Available,162.475,163.436,1631.044,244.326,1875.37,511.84,2387.21
1984-08-01,229.696,557.531,708.717,1494.018,0.805,Not Available,Not Available,Not Available,162.475,163.28,1657.299,253.478,1910.776,549.039,2459.815
1984-09-01,222.913,538.462,657.661,1418.597,0.727,Not Available,Not Available,Not Available,157.234,157.961,1576.558,242.394,1818.953,444.659,2263.612
1984-10-01,221.956,571.274,704.4,1494.208,0.703,Not Available,Not Available,Not Available,162.475,163.178,1657.386,241.271,1898.657,485.562,2384.218
1984-11-01,231.805,603.117,603.443,1435.785,0.756,Not Available,Not Available,Not Available,157.234,157.99,1593.774,233.595,1827.369,476.359,2303.728
1984-12-01,254.82,620.701,598.616,1473.595,0.805,Not Available,Not Available,Not Available,162.475,163.28,1636.875,226.515,1863.389,460.155,2323.544
1985-01-01,244.998,723.952,621.251,1590.65,0.995,Not Available,Not Available,Not Available,162.871,163.866,1754.516,232.757,1987.274,505.051,2492.324
1985-02-01,226.198,667.373,574.439,1469.444,0.841,Not Available,Not Available,Not Available,147.109,147.95,1617.394,230.553,1847.947,404.373,2252.32
1985-03-01,227.202,630.472,604.323,1462.107,0.957,Not Available,Not Available,Not Available,162.871,163.828,1625.935,233.512,1859.447,454.151,2313.598
