Month,Coal Production,Waste Coal Supplied,Coal Imports,Coal Exports,Coal Net Imports,Coal Stock Change,Coal Losses and Unaccounted for,Coal Consumption
1973-01-01,49901.0,,2.0,2995.0,-2993.0,7744.458,-11415.066,50578.608
1973-02-01,46461.0,,2.0,2674.0,-2672.0,-1997.879,222.071,45564.808
1973-03-01,51188.0,,3.0,3470.0,-3467.0,1189.416,1128.629,45402.955
1973-04-01,47580.0,,4.0,5121.0,-5117.0,1218.521,-2082.019,43326.498
1973-05-01,52061.0,,10.0,5231.0,-5221.0,4230.624,-1390.383,43999.759
1973-06-01,47222.0,,3.0,5041.0,-5038.0,-822.72,-2535.955,45542.675
1973-07-01,44235.0,,2.0,4197.0,-4195.0,-8142.766,22.205,48160.561
1973-08-01,56461.0,,8.0,5220.0,-5212.0,25.294,1968.421,49255.285
1973-09-01,48870.0,,24.0,3461.0,-3437.0,-1084.56,642.901,45874.659
1973-10-01,54996.0,,39.0,5979.0,-5940.0,2001.778,76.011,46978.211
1973-11-01,50408.0,,15.0,5261.0,-5246.0,-135.531,-1915.477,47213.008
1973-12-01,49185.0,,15.0,4937.0,-4922.0,-3824.37,-2599.206,50686.576
1974-01-01,54228.0,,110.0,2853.0,-2743.0,-6077.837,7033.892,50528.945
1974-02-01,50511.0,,167.0,4639.0,-4472.0,-1380.553,1715.136,45704.417
1974-03-01,51809.0,,43.0,3219.0,-3176.0,4194.894,-1899.637,46337.743
1974-04-01,54965.0,,114.0,5024.0,-4910.0,4873.068,1306.51,43875.422
1974-05-01,58251.0,,92.0,6137.0,-6045.0,5083.179,1738.449,45384.372
1974-06-01,48570.0,,70.0,6412.0,-6342.0,-217.582,-2288.404,44733.986
1974-07-01,49835.0,,120.0,5356.0,-5236.0,-5636.791,1268.212,48967.579
1974-08-01,52428.0,,490.0,5147.0,-4657.0,-2165.802,875.694,49061.108
1974-09-01,53202.0,,129.0,4930.0,-4801.0,3554.155,506.41,44340.435
1974-10-01,61136.0,,265.0,7420.0,-7155.0,8481.992,-880.011,46379.019
1974-11-01,34312.0,,329.0,6833.0,-6504.0,-7734.861,-9525.737,45068.598
1974-12-01,40776.0,,151.0,2691.0,-2540.0,-11891.898,2107.722,48020.176
1975-01-01,55707.0,,91.0,4293.0,-4202.0,-428.898,1651.397,50282.501
1975-02-01,52343.0,,150.0,4514.0,-4364.0,-49.95,1871.635,46157.315
1975-03-01,53147.0,,198.0,5685.0,-5487.0,1760.954,-1733.058,47632.104
1975-04-01,54046.0,,66.0,6227.0,-6161.0,5448.77,-1837.809,44274.039
1975-05-01,56456.0,,96.0,7026.0,-6930.0,7847.235,-1716.028,43394.793
1975-06-01,56730.0,,37.0,6335.0,-6298.0,4760.349,263.853,45407.798
1975-07-01,46415.0,,3.0,4780.0,-4777.0,-5443.63,-981.185,48062.815
1975-08-01,52295.0,,129.0,5904.0,-5775.0,-647.359,-2440.573,49607.932
1975-09-01,56566.0,,42.0,4631.0,-4589.0,3746.124,3649.418,44581.458
1975-10-01,60956.0,,1.0,4703.0,-4702.0,8247.962,2645.283,45360.755
1975-11-01,54531.0,,38.0,7614.0,-7576.0,5904.357,-5342.719,46393.362
1975-12-01,55449.0,,89.0,4597.0,-4508.0,1008.134,-1552.694,51485.56
1976-01-01,53093.0,,103.0,3711.0,-3608.0,-5976.462,2062.814,53398.648
1976-02-01,54213.0,,114.0,3074.0,-2960.0,-213.022,4192.611,47273.411
1976-03-01,61443.0,,40.0,4000.0,-3960.0,4441.407,3990.705,49050.888
1976-04-01,59665.0,,132.0,5846.0,-5714.0,5072.768,2028.322,46849.91
1976-05-01,58489.0,,90.0,5747.0,-5657.0,7489.002,-1774.845,47117.843
1976-06-01,60290.0,,192.0,6644.0,-6452.0,4134.792,862.426,48840.782
1976-07-01,44808.0,,39.0,4927.0,-4888.0,-10327.159,-1806.929,52054.088
1976-08-01,54212.0,,90.0,4270.0,-4180.0,-5844.177,3432.858,52443.319
1976-09-01,61149.0,,65.0,5734.0,-5669.0,5612.071,1776.61,48091.319
1976-10-01,59389.0,,94.0,5913.0,-5819.0,4127.216,-313.297,49756.081
1976-11-01,59273.0,,149.0,5507.0,-5358.0,1332.178,301.263,52281.559
1976-12-01,58889.0,,95.0,4648.0,-4553.0,-1340.886,-955.24,56632.126
1977-01-01,45069.0,,123.0,2180.0,-2057.0,-12906.64,-961.364,56880.004
1977-02-01,49680.0,,75.0,3121.0,-3046.0,-3193.122,-553.966,50381.088
1977-03-01,67260.0,,31.0,3449.0,-3418.0,8201.131,4923.59,50717.279
1977-04-01,61102.0,,170.0,5655.0,-5485.0,7499.245,1351.846,46765.909
1977-05-01,62975.0,,94.0,5757.0,-5663.0,7969.241,-214.248,49557.007
1977-06-01,63574.0,,92.0,6045.0,-5953.0,7706.872,-2279.904,52194.032
1977-07-01,50058.0,,112.0,5222.0,-5110.0,-7296.007,-4217.659,56461.666
1977-08-01,58230.0,,100.0,4334.0,-4234.0,8.377,-1301.062,55288.685
1977-09-01,69981.0,,175.0,5131.0,-4956.0,8225.981,5793.62,51005.399
1977-10-01,68247.0,,274.0,4931.0,-4657.0,11840.549,1109.268,50640.183
1977-11-01,69492.0,,170.0,4566.0,-4396.0,13249.34,668.958,51177.702
1977-12-01,31537.0,,231.0,3921.0,-3690.0,-18660.514,-7714.495,54222.009
1978-01-01,23664.0,,139.0,895.645,-756.645,-34343.399,2938.108,54312.646
1978-02-01,24198.0,,159.0,589.375,-430.375,-24838.694,3118.285,45488.034
1978-03-01,40001.0,,231.0,378.086,-147.086,-9115.259,5681.641,43287.532
1978-04-01,61011.0,,417.0,2615.332,-2198.332,13514.165,-985.063,46283.566
1978-05-01,70417.0,,323.0,4475.961,-4152.961,14691.025,2156.591,49416.423
1978-06-01,67111.0,,291.0,5432.581,-5141.581,12702.311,-3527.906,52795.014
1978-07-01,54856.0,,313.0,3576.004,-3263.004,-2827.66,-1779.673,56200.329
1978-08-01,65813.0,,227.0,3635.548,-3408.548,3554.911,793.581,58055.96
1978-09-01,59190.0,,196.0,3456.15,-3260.15,3603.283,-2697.514,55024.081
1978-10-01,71681.0,,371.0,5054.569,-4683.569,8410.863,5583.717,53002.851
1978-11-01,71156.0,,98.0,6030.348,-5932.348,10075.677,1992.934,53155.041
1978-12-01,61066.0,,188.0,4574.499,-4386.499,-364.806,-1159.043,58203.35
1979-01-01,57794.0,,186.01,3606.939,-3420.929,-9476.056,2650.625,61198.502
1979-02-01,54810.0,,252.455,2727.982,-2475.527,-7371.41,5242.391,54463.492
1979-03-01,66775.0,,122.974,4644.468,-4521.494,5013.02,2376.229,54864.257
1979-04-01,63937.0,,161.12,5271.022,-5109.902,8295.01,-1069.208,51601.296
1979-05-01,69488.0,,111.653,6217.311,-6105.658,8951.236,405.303,54025.803
1979-06-01,70698.0,,208.952,5978.025,-5769.073,4148.238,4755.602,56025.087
1979-07-01,53595.0,,88.148,6299.509,-6211.361,-7129.547,-5884.222,60397.408
1979-08-01,71616.0,,320.033,6249.464,-5929.431,4532.614,403.825,60750.13
1979-09-01,64590.0,,179.586,5146.902,-4967.316,5240.214,163.056,54219.414
1979-10-01,78563.0,,151.688,7447.746,-7296.058,11627.773,3920.131,55719.038
1979-11-01,68506.0,,130.212,6172.795,-6042.583,8099.97,-1633.476,55996.923
1979-12-01,60762.0,,146.148,6279.612,-6133.464,4274.721,-10909.083,61262.898
1980-01-01,69594.0,,120.668,4460.49,-4339.822,-973.956,2709.593,63518.541
1980-02-01,65546.0,,193.366,4040.644,-3847.278,-1080.77,3101.11,59678.382
1980-03-01,70953.0,,93.034,5633.242,-5540.208,1403.515,5157.362,58851.915
1980-04-01,69658.0,,63.245,7562.504,-7499.259,8931.614,591.855,52635.272
1980-05-01,71043.0,,207.06,8596.522,-8389.462,8767.204,1052.699,52833.635
1980-06-01,71338.0,,104.056,8899.158,-8795.102,5592.216,853.073,56097.609
1980-07-01,61285.0,,31.913,8247.375,-8215.462,-11971.247,1918.646,63122.139
1980-08-01,68399.0,,165.673,9269.541,-9103.868,2191.413,-5648.155,62751.874
1980-09-01,68822.0,,2.287,8364.254,-8361.967,3174.66,-20.944,57306.317
1980-10-01,72290.0,,139.484,9454.015,-9314.531,7521.233,-320.888,55775.124
1980-11-01,68655.0,,2.664,8986.429,-8983.765,2453.092,419.216,56798.927
1980-12-01,72117.0,,70.132,8227.728,-8157.596,-413.904,1014.308,63359.0
1981-01-01,65927.0,,35.375,5794.846,-5759.471,-4923.793,-2488.73,67580.052
1981-02-01,70918.0,,104.09,6770.943,-6666.853,-1210.179,5726.557,59734.769
1981-03-01,78266.0,,76.574,9710.122,-9633.548,9926.261,-1363.008,60069.199
1981-04-01,36253.0,,62.552,8270.935,-8208.383,-21806.599,-4798.007,54649.223
1981-05-01,38100.0,,96.535,6085.518,-5988.983,-19509.386,-3405.078,55025.481
1981-06-01,61555.0,,138.494,6157.8,-6019.306,-10343.765,6194.725,59684.734
1981-07-01,74076.0,,12.851,10762.634,-10749.783,-3376.22,-691.813,67394.25
1981-08-01,78782.0,,150.489,11315.381,-11164.892,3195.413,-1474.127,65895.822
1981-09-01,81720.0,,69.119,11899.569,-11830.45,8028.232,2140.688,59720.63
1981-10-01,85241.0,,93.947,12359.899,-12265.952,10843.52,2970.074,59161.454
1981-11-01,76577.0,,75.958,11848.994,-11773.036,7812.085,-1702.924,58694.803
1981-12-01,76360.0,,127.374,11564.239,-11436.865,2381.052,-2475.333,65017.416
1982-01-01,67138.0,,71.364,6176.566,-6105.202,-8394.614,734.929,68692.483
1982-02-01,71169.0,,30.305,8964.585,-8934.28,2211.124,278.008,59745.588
1982-03-01,83943.0,,11.917,10423.255,-10411.338,9239.416,6056.104,58236.142
1982-04-01,73587.0,,10.408,10831.299,-10820.891,8267.383,1224.551,53274.175
1982-05-01,71127.0,,109.262,10109.71,-10000.448,8333.72,-2050.791,54843.623
1982-06-01,71720.0,,8.555,10679.83,-10671.275,6171.965,-1072.379,55949.139
1982-07-01,60535.0,,69.128,9181.591,-9112.463,-6996.867,-5408.151,63827.555
1982-08-01,72898.0,,130.764,7384.909,-7254.145,1026.373,1089.528,63527.954
1982-09-01,67951.0,,70.644,8682.786,-8612.142,363.137,2241.367,56734.354
1982-10-01,70852.0,,66.254,9971.855,-9905.601,4181.083,1731.466,55033.85
